Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.216440047250855,-0.0311678812011165,0.0267999999999496,0,0,0,0.941935769065505,0.0124970752255346,3.31870238430256E-17,-8.36937029359261E-18,0.0023975609154183,-4.36036057524128E-17,0.0148907114085818,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/base_link.STL,,battery_base_plate-1,Global co-ordinate system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,5.73941775963982E-05,-0.0547817281545586,0.000662361701355196,0,0,0,1.15411724032787,0.00169670713331925,8.3068554945323E-08,-1.47480764218124E-07,0.00298663361197173,8.62121560025982E-08,0.00167881991277623,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/left_wheel.STL,,089LDA_Braked_SGV1-1,Coordinate System3,Axis5,left_joint,continuous,-0.0649400472508853,0.249032118798883,0.0781599999999999,0,0,0,base_link,0,-1,0,5,315,,,,,,,,,,
right_wheel,-5.73941775350029E-05,0.0547817281545965,0.000662361701394734,0,0,0,1.15411724032822,0.00169670713331966,8.30685548989815E-08,1.47480764332087E-07,0.00298663361197211,-8.62121559036301E-08,0.00167881991277635,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/right_wheel.STL,,089LDA_Braked_SGV1-2,Coordinate System4,Axis5,joint_right,continuous,-0.0649400472508853,-0.311367881201119,0.0781599999999999,0,0,0,base_link,0,-1,0,5,315,,,,,,,,,,
Link1,-0.458940047250855,-0.0311678812011156,0.172299999999953,0,0,0,0.15370520802836,0.00206367743977508,2.90201902564923E-21,-3.90910694090929E-21,2.85493321272229E-05,-8.57924550641996E-21,0.00206367743977508,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link1.STL,,30x30_400mm-3,Global co-ordinate system,Global_y,joint1,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link2,-0.216490430161542,-0.0312444036729151,0.107765712146774,0,0,0,8.71276230076757,0.0919527713651485,-6.14228140772403E-05,1.26116698146279E-05,0.0398150311485115,1.91549924270925E-05,0.096665853431385,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link2.STL,,battery-3,Global co-ordinate system,Axis_Joint2,Joint2,prismatic,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link3,-0.108940047250836,-0.301167881198528,0.246000000014389,0,0,0,0.436520685221923,0.000205716006741984,-5.92031368264508E-17,-3.8099743968262E-19,0.0169853684284612,3.96954847930399E-09,0.0168615417193838,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link3.STL,,30X60_680mm-1,Global co-ordinate system,Global_x,Joint3,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link4,-0.108940047250849,0.238832118801473,0.246000000014392,0,0,0,0.436520685221924,0.000205716006741984,-6.53733304446301E-17,-1.42190742874982E-19,0.0169853684284612,3.96954847929519E-09,0.0168615417193838,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link4.STL,,30X60_680mm-2,Global co-ordinate system,Global_x,Joint4,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link5,-0.463940047248248,-0.0311678812011161,0.246000000014383,0,0,0,0.365907044965438,0.0100450504100988,-4.70359182903092E-20,3.32741563710327E-09,0.000172438417416075,-1.15593361528387E-19,0.00994125449219573,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link5.STL,,30X60_570mm-1,Global co-ordinate system,Global_y,Joint5,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link6,0.246059952751741,-0.0311678812011162,0.246000000014393,0,0,0,0.365907044965436,0.0100450504100988,-3.50320549018335E-20,3.32741563708656E-09,0.000172438417416075,-1.32818398610428E-19,0.0099412544921957,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link6.STL,,30X60_570mm-2,Global co-ordinate system,Global_y,Joint6,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link7,-0.143940047250853,0.153832118798883,0.0932999999999522,0,0,0,0.049185666569075,7.17227232293328E-05,-5.54037167522794E-21,-4.38999970166423E-19,7.17227232293328E-05,-6.39884951765641E-21,9.13578628071131E-06,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cad_assembly_amr_final_1/meshes/Link7.STL,,30x30_128mm-1,Global co-ordinate system,Axis_Joint7,Joint7,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
